Kp,5,Ki,0.02,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
2176.99,-89.5521,88.5059,446.248,-843.599,454,-801
2183,-89.5521,88.5059,446.248,-843.599,453,-825
2189.04,-89.5521,88.5059,446.248,-843.599,453,-836
2195.01,-89.5521,88.5059,446.248,-843.599,453,-839
2201,-89.5521,88.5059,446.248,-843.599,453,-840
2207.05,-89.5521,88.5059,446.248,-843.599,453,-841
2213,-89.5521,88.5059,446.248,-843.599,453,-841
2219.13,-86.5079,93.5641,426.653,-993.64,453,-842
2225.05,-86.5079,93.5641,426.653,-993.64,453,-842
2231.01,-86.5079,93.5641,426.653,-993.64,453,-850
2237.13,-86.5079,93.5641,426.653,-993.64,452,-873
2243.11,-86.5079,93.5641,426.653,-993.64,449,-911
2249.11,-86.5079,93.5641,426.653,-993.64,447,-949
2255.05,-86.5079,93.5641,426.653,-993.64,444,-975
2261.08,-86.5079,93.5641,426.653,-993.64,442,-987
2267.1,-86.5079,93.5641,426.653,-993.64,441,-990
2273.15,-86.5079,93.5641,426.653,-993.64,440,-991
2278.98,-86.5079,93.5641,426.653,-993.64,438,-992
2285.1,-86.5079,93.5641,426.653,-993.64,438,-992
2291.04,-86.5079,93.5641,426.653,-993.64,437,-992
2296.97,-86.5079,93.5641,426.653,-993.64,436,-992
2303.05,-81.713,95.4793,399.826,-1185.59,435,-992
2309.06,-81.713,95.4793,399.826,-1185.59,434,-993
2315.11,-81.713,95.4793,399.826,-1185.59,431,-1006
2321.15,-81.713,95.4793,399.826,-1185.59,424,-1033
2327.11,-81.713,95.4793,399.826,-1185.59,415,-1076
2333.16,-81.713,95.4793,399.826,-1185.59,406,-1120
2339.11,-81.713,95.4793,399.826,-1185.59,400,-1154
2345.06,-81.713,95.4793,399.826,-1185.59,396,-1173
2351.12,-81.713,95.4793,399.826,-1185.59,393,-1180
2357.07,-81.713,95.4793,399.826,-1185.59,392,-1182
2363.13,-81.713,95.4793,399.826,-1185.59,391,-1183
2369.1,-81.713,95.4793,399.826,-1185.59,390,-1183
2375,-81.713,95.4793,399.826,-1185.59,390,-1184
2381.63,-76.3663,94.2621,371.802,-1304.49,389,-1184
2387.06,-76.3663,94.2621,371.802,-1304.49,389,-1185
2393,-76.3663,94.2621,371.802,-1304.49,387,-1192
2399.1,-76.3663,94.2621,371.802,-1304.49,384,-1214
2405.1,-76.3663,94.2621,371.802,-1304.49,379,-1249
2411.16,-76.3663,94.2621,371.802,-1304.49,374,-1281
2417,-76.3663,94.2621,371.802,-1304.49,370,-1297
2423.15,-76.3663,94.2621,371.802,-1304.49,368,-1301
2429.18,-76.3663,94.2621,371.802,-1304.49,367,-1303
2435.11,-76.3663,94.2621,371.802,-1304.49,366,-1303
2441.09,-76.3663,94.2621,371.802,-1304.49,366,-1303
2447.02,-76.3663,94.2621,371.802,-1304.49,365,-1304
2454.65,-76.3663,94.2621,371.802,-1304.49,364,-1304
2461.67,-70.6199,90.6415,342.291,-1424.08,363,-1304
2468.28,-70.6199,90.6415,342.291,-1424.08,363,-1305
2474.28,-70.6199,90.6415,342.291,-1424.08,361,-1314
2480.15,-70.6199,90.6415,342.291,-1424.08,358,-1337
2486.09,-70.6199,90.6415,342.291,-1424.08,353,-1374
2492.16,-70.6199,90.6415,342.291,-1424.08,348,-1405
2498.22,-70.6199,90.6415,342.291,-1424.08,347,-1420
2504.29,-70.6199,90.6415,342.291,-1424.08,346,-1423
2510.18,-70.6199,90.6415,342.291,-1424.08,345,-1425
2516.23,-70.6199,90.6415,342.291,-1424.08,344,-1425
2522.18,-70.6199,90.6415,342.291,-1424.08,343,-1425
2528.12,-70.6199,90.6415,342.291,-1424.08,343,-1425
2534.04,-70.6199,90.6415,342.291,-1424.08,343,-1425
2541.23,-63.725,83.5867,305.754,-1500,343,-1425
2547.12,-63.725,83.5867,305.754,-1500,343,-1425
2553.3,-63.725,83.5867,305.754,-1500,340,-1430
2559.18,-63.725,83.5867,305.754,-1500,331,-1447
2565.12,-63.725,83.5867,305.754,-1500,320,-1471
2571.17,-63.725,83.5867,305.754,-1500,311,-1487
2577.18,-63.725,83.5867,305.754,-1500,308,-1492
2583.13,-63.725,83.5867,305.754,-1500,308,-1494
2589.18,-63.725,83.5867,305.754,-1500,307,-1495
2595.16,-63.725,83.5867,305.754,-1500,306,-1495
2601.17,-63.725,83.5867,305.754,-1500,305,-1495
2607.24,-63.725,83.5867,305.754,-1500,305,-1495
2613.13,-63.725,83.5867,305.754,-1500,305,-1496
2620.22,-55.8235,74.1414,264.119,-1500,305,-1496
2626.08,-55.8235,74.1414,264.119,-1500,305,-1496
2632.2,-55.8235,74.1414,264.119,-1500,297,-1496
2638.07,-55.8235,74.1414,264.119,-1500,281,-1497
